FlightId,Price,StopCount,Departue,Arrival,FlightTime,Airline(s),DepartureCity,ArrivalCity
15062-2210130712--31722-0-13416-2210130943,278.6,0,10/13/2022 7:12:00 AM,10/13/2022 9:43:00 AM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210131254--31722-0-13416-2210131525,238.6,0,10/13/2022 12:54:00 PM,10/13/2022 3:25:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210132013--31722-0-13416-2210132244,238.6,0,10/13/2022 8:13:00 PM,10/13/2022 10:44:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210130850--31722-0-13416-2210131119,278.6,0,10/13/2022 8:50:00 AM,10/13/2022 11:19:00 AM,269,,United,Chicago O'Hare International,Los Angeles International
15062-2210130822--31825-0-13416-2210131055,168.59,0,10/13/2022 8:22:00 AM,10/13/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210130545--31825-1-13416-2210130945,179.58,1,10/13/2022 5:45:00 AM,10/13/2022 9:45:00 AM,360,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210132159--31825-0-13416-2210140039,168.59,0,10/13/2022 9:59:00 PM,10/14/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210131412--31722-0-13416-2210131643,238.6,0,10/13/2022 2:12:00 PM,10/13/2022 4:43:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210131540--31722-0-13416-2210131800,278.6,0,10/13/2022 3:40:00 PM,10/13/2022 6:00:00 PM,260,,United,Chicago O'Hare International,Los Angeles International
15062-2210141254--31722-0-13416-2210141525,198.6,0,10/14/2022 12:54:00 PM,10/14/2022 3:25:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210141930--31825-0-13416-2210142207,168.59,0,10/14/2022 7:30:00 PM,10/14/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210140712--31722-0-13416-2210140943,198.6,0,10/14/2022 7:12:00 AM,10/14/2022 9:43:00 AM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210142159--31825-0-13416-2210150039,128.59,0,10/14/2022 9:59:00 PM,10/15/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210141035--31722-0-13416-2210141300,198.6,0,10/14/2022 10:35:00 AM,10/14/2022 1:00:00 PM,265,,United,Chicago O'Hare International,Los Angeles International
15062-2210141540--31722-0-13416-2210141800,198.6,0,10/14/2022 3:40:00 PM,10/14/2022 6:00:00 PM,260,,United,Chicago O'Hare International,Los Angeles International
15062-2210141412--31722-0-13416-2210141643,198.6,0,10/14/2022 2:12:00 PM,10/14/2022 4:43:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210140822--31825-0-13416-2210141055,168.59,0,10/14/2022 8:22:00 AM,10/14/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210140850--31722-0-13416-2210141119,238.6,0,10/14/2022 8:50:00 AM,10/14/2022 11:19:00 AM,269,,United,Chicago O'Hare International,Los Angeles International
15062-2210142013--31722-0-13416-2210142244,198.6,0,10/14/2022 8:13:00 PM,10/14/2022 10:44:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210152159--31825-0-13416-2210160039,91,0,10/15/2022 9:59:00 PM,10/16/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210151540--31722-0-13416-2210151800,138.6,0,10/15/2022 3:40:00 PM,10/15/2022 6:00:00 PM,260,,United,Chicago O'Hare International,Los Angeles International
15062-2210150850--31722-0-13416-2210151119,198.6,0,10/15/2022 8:50:00 AM,10/15/2022 11:19:00 AM,269,,United,Chicago O'Hare International,Los Angeles International
15062-2210150822--31825-0-13416-2210151055,128.59,0,10/15/2022 8:22:00 AM,10/15/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210151255--31722-0-13416-2210151526,198.6,0,10/15/2022 12:55:00 PM,10/15/2022 3:26:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210152013--31722-0-13416-2210152244,198.6,0,10/15/2022 8:13:00 PM,10/15/2022 10:44:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210150710--31722-0-13416-2210150940,198.6,0,10/15/2022 7:10:00 AM,10/15/2022 9:40:00 AM,270,,United,Chicago O'Hare International,Los Angeles International
15062-2210151930--31825-0-13416-2210152207,91,0,10/15/2022 7:30:00 PM,10/15/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210151035--31722-0-13416-2210151300,198.6,0,10/15/2022 10:35:00 AM,10/15/2022 1:00:00 PM,265,,United,Chicago O'Hare International,Los Angeles International
15062-2210151405--31722-0-13416-2210151636,198.6,0,10/15/2022 2:05:00 PM,10/15/2022 4:36:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210162054--32257-0-13416-2210162314,326.17,0,10/16/2022 8:54:00 PM,10/16/2022 11:14:00 PM,260,,Gulf Air,Chicago O'Hare International,Los Angeles International
15062-2210161930--31825-0-13416-2210162207,256.87,0,10/16/2022 7:30:00 PM,10/16/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210162159--31825-0-13416-2210170039,259.55,0,10/16/2022 9:59:00 PM,10/17/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210160850--32695-0-13416-2210161119,340.45,0,10/16/2022 8:50:00 AM,10/16/2022 11:19:00 AM,269,,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2210160822--31825-0-13416-2210161055,259.11,0,10/16/2022 8:22:00 AM,10/16/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210160712--31722-0-13416-2210160939,278.58,0,10/16/2022 7:12:00 AM,10/16/2022 9:39:00 AM,267,,United,Chicago O'Hare International,Los Angeles International
15062-2210160545--31825-1-13416-2210160945,202.09,1,10/16/2022 5:45:00 AM,10/16/2022 9:45:00 AM,360,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
